lipid_id,lipids,160_Plasma,163_Plasma,167_Plasma,168_Plasma,158_Plasma,161_Plasma,162_Plasma,164_Plasma,170_Plasma
9339_p,CE 20:4,0,148548800,7159307,16958150,12872137,3097311.75,7532272,2567987,6227705
9350_p,SM 32:1;O2,2249181.25,2859915,3212262.25,2531300.5,1929304.125,2025231.5,1751892.75,1633867.125,1539306.125
9359_p,PC O-30:0|PC O-14:0_16:0,5679123,7169880.5,9155030,7750062.5,4350572,7297407.5,6637491,9973423,5784735.5
9399_p,SM 32:1;O2,803558.25,1755110.125,2236080,1760985,2028728.875,880751.625,1293027.25,767430.3125,1190433.375
9404_p,SM 34:3;O2|SM 18:2;O2/16:1,2401817.75,3062560.75,3791207.75,3011949,2277212.25,2237094.5,2280440.5,1642934.75,1619601.375
9406_p,PE P-34:2|PE P-16:0_18:2,12086648,11614404,10177012,9743437,7790902.5,5664785.5,7906852.5,7606057,9987469
9407_p,PE P-34:2|PE P-16:0_18:2,6144044.5,9488069,11514428,10482528,7790902.5,5572473.5,7906852.5,14573329,16114042
9408_p,HexCer 34:1;O2|HexCer 18:1;O2/16:0,8280956,7256726.5,8221309,8589453,4077326.75,6401413,5210521.5,6992821.5,8492709
9414_p,SM 34:2;O2|SM 18:2;O2/16:0,383948800,554239936,636355264,574370240,375014336,416642976,408879040,301390272,336525152
9419_p,PE P-34:1|PE P-16:0_18:1,10069345,14040190,15311528,14086502,11209491,11432616,13209473,12530741,12724275
9425_p,SM 34:1;O2,1228795008,1075444736,996524096,1163860864,856189504,1093153920,870275392,1286670848,1151567488
9426_p,SM 34:1;O2|SM 18:1;O2/16:0,16925658,16976322,16020536,17769400,10562923,16410519,14686854,22842116,15175222
9427_p,SM 34:1;O2|SM 18:1;O2/16:0,1930765824,1833176704,1932164992,1913091584,1720670080,1752327808,1792120832,1901582720,1916783360
9433_p,PC 30:1,5302572.5,8911280,11633079,9925413,11493891,8471566,7897083,4855754.5,9023074
9434_p,PE O-34:1,5580481.5,19029752,16196396,15859391,8406767,17228026,18413606,14351292,16541991
9444_p,SM 33:1;O2,11417383,16706957,16718175,15590004,9284367,11146697,9083933,9261297,9309011
9445_p,SM 34:0;O2|SM 21:0;O2/13:0,76179248,62026028,56494560,31046098,62146084,61425828,63225780,74780792,50442760
9447_p,PC 30:0|PC 14:0_16:0,78517504,65842456,79083776,82589944,90309664,74979144,65018332,59340284,73665160
9494_p,SM 33:1;O2,2649428.5,5108531,4736706.5,3535394.5,2288277.25,2052664.5,3066890.5,1868213.375,1686905.875
9495_p,PE 33:1(d7)|PE 15:0_18:1(d7),12168925,12054333,13662089,13091762,11236056,13706869,13450372,13731922,12336831
9504_p,TG 40:0|TG 10:0_14:0_16:0,9674000,9469593,12425585,8897007,14046653,9339243,9087196,7639801,9879374
9518_p,PC O-32:3|PC O-14:1_18:2,2795523.5,3053079.5,4434145.5,2565097,2097005.375,2389723.25,3858579.5,1774647.125,1829179.375
9521_p,CE 22:6,0,6026258,0,87426.58594,109853.9609,0,0,0,0
9522_p,CE 22:6,1552806912,3370419200,3119770368,2527034880,1211959168,2353740800,2006830848,2275678208,1598994688
9529_p,CE 22:6,1395071.375,71464952,2143438.75,5094410,5064365,1321340.625,1894378.375,794985.5,2001977.125
9530_p,CE 22:6,14703.84375,351397696,2732476.5,25474508,13160064,691133.9375,2505444,515409.625,1179065.875
9532_p,SM 35:2;O2|SM 17:1;O2/18:1,4383956,3972491.25,7747679,6113057,3062034,3328615.25,3755692.25,3496952.75,2755693
9537_p,PE 34:2|PE 16:0_18:2,37275988,49372664,46035732,52022356,80862408,62436492,64872952,32773234,74802248
9543_p,CE 22:5,93894432,78723984,51972780,116015096,70948576,49823508,77604656,66521356,84454528
9549_p,SM 34:2;O2,6980159.5,6473472,7837580.5,7220882.5,4930913,6159863.5,6521256,5669238,4537368.5
9551_p,SM 35:1;O2|SM 17:1;O2/18:0,18303062,15585158,18246440,24008572,8962792,13993032,19185314,16212458,10506001
9552_p,DG 41:0,32612292,59932980,41298400,42103168,26611030,46961248,43042784,40602152,29363664
9561_p,PC O-32:1|PC O-16:0_16:1,33244636,40338388,49182964,42845260,35942308,39048464,42695524,40399048,40148308
9562_p,PC O-32:1|PC O-16:1_16:0,32838796,39472712,34188896,34727732,22306714,30365752,31230428,34106164,28727646
9563_p,HexCer 37:4;O2|HexCer 18:1;O2/19:3,1854248.875,2866768,3113325.25,3490638.75,4911516.5,3863516,3782226.5,4294950,4279537
9577_p,SM 34:1;O2,37508184,39239236,38096928,37187248,23270966,35736016,30525958,29766754,26780596
9581_p,PC 31:0|PC 15:0_16:0,16524081,16477873,21877588,21951290,12806418,17356400,11628483,11035610,16161399
9584_p,PC O-32:0|PC O-16:0_16:0,156779776,196286848,189321312,196924512,149021680,167043664,184659424,181258720,156021568
9594_p,DG 42:5,14205911,19222948,21735566,17871834,18896424,21098820,20929470,18762728,21406734
9610_p,SM 34:2;O2,4349801,11204468,12098288,11838948,7080394,6334989,7524842.5,4677629,6038960.5
9611_p,PE P-36:4|PE P-16:0_20:4,62958300,79792064,92542584,79770856,52629256,48381584,55152872,54916744,50233076
9614_p,SM 34:1;O2,10218881,7425784,7902177,9405202,9921148,4391419.5,9835708,13104277,13447784
