contrast,set,pval,padj,log2err,ES,NES,size,leadingEdge
Mizoribine - Vehicle,total_cl_17,0.17222222222222222,0.44868421052631574,0.1429011493869481,-0.7490862949988375,-1.338530124414639,4,
Mizoribine - Vehicle,Class_Cer,0.18074074074074073,0.45880341880341874,0.12267918956880833,-0.4303167228243378,-1.2362469184473632,48,
Mizoribine - Vehicle,total_cs_0,0.1905424200278164,0.47159248956884564,0.1147507192270233,-0.3589729527410396,-1.1941607132173435,125,
Mizoribine - Vehicle,Class_CE,0.2119089316987741,0.5033898305084746,0.12325722638133735,-0.6413962110116617,-1.2725289683869556,7,
Mizoribine - Vehicle,total_cl_16,0.22375215146299485,0.5033898305084746,0.11828752612408502,-0.6120071684587813,-1.257745341802517,8,
Mizoribine - Vehicle,total_cl_36,0.21671826625386997,0.5033898305084746,0.16693384871319314,0.33673144933054655,1.1752566949544363,90,
Mizoribine - Vehicle,total_cl_41,0.2288135593220339,0.5033898305084746,0.15419096658142434,0.4159212267982177,1.2401276448733773,36,
Mizoribine - Vehicle,total_cl_53,0.22491349480968859,0.5033898305084746,0.11828752612408502,-0.5848937104334259,-1.2598650094294859,10,
Mizoribine - Vehicle,Class_DG,0.2515527950310559,0.5072046109510087,0.15419096658142434,0.33246674876030907,1.1435846410775399,80,
Mizoribine - Vehicle,Class_DLCL,0.2754237288135593,0.5072046109510087,0.11828752612408502,0.7021052063392326,1.2191842878936103,3,
Mizoribine - Vehicle,Class_MG,0.2766323024054983,0.5072046109510087,0.10434395258194858,-0.5740272831833224,-1.204904732785244,9,
Mizoribine - Vehicle,Class_SL,0.26128266033254155,0.5072046109510087,0.13010563075112855,0.5551911595224198,1.1969752581617301,8,
Mizoribine - Vehicle,total_cl_37,0.276657060518732,0.5072046109510087,0.14040623852334236,0.3853991595222527,1.1528021198959977,40,
Mizoribine - Vehicle,total_cl_38,0.25165562913907286,0.5072046109510087,0.1596467019199062,0.3078101605884327,1.1142358216814108,113,
Mizoribine - Vehicle,total_cl_42,0.2571428571428571,0.5072046109510087,0.15419096658142434,0.3246839852665274,1.1238995623159909,89,
Mizoribine - Vehicle,total_cs_3,0.24666666666666667,0.5072046109510087,0.1619789488834018,0.3136971077925892,1.1250657176411594,108,
Mizoribine - Vehicle,total_cs_7,0.2688953488372093,0.5072046109510087,0.09592067779217453,-0.38805838173271434,-1.1585323450965699,61,
Mizoribine - Vehicle,total_cl_31,0.28703703703703703,0.5160411622276029,0.10672988436460558,-0.6677905277768428,-1.1932640393980805,4,
Mizoribine - Vehicle,total_cl_74,0.2919020715630885,0.5160411622276029,0.10672988436460558,-0.7159060473450274,-1.1833119462232586,3,
Mizoribine - Vehicle,Class_CL,0.2977667493796526,0.5171738278699229,0.12384217120104962,0.4251800769665812,1.150889259152039,19,
Mizoribine - Vehicle,total_cl_47,0.30423940149625933,0.5193051853125805,0.12267918956880833,0.47774771281217,1.156671811669653,14,
Mizoribine - Vehicle,total_cl_14,0.360377358490566,0.604700991365526,0.09405034657278127,-0.7415329768270945,-1.1221417320277947,2,
Mizoribine - Vehicle,Class_LPE,0.36952714535901926,0.6097197898423817,0.08835944425009051,-0.5625935974847835,-1.116184720048808,7,
Mizoribine - Vehicle,Class_FA,0.39351851851851855,0.6283602150537635,0.07808923069433449,-0.3823147792975599,-1.0476068476667757,36,
Mizoribine - Vehicle,total_cl_18,0.3894899536321484,0.6283602150537635,0.07871138069864847,-0.4029684126248393,-1.0568536968079585,28,
Mizoribine - Vehicle,Class_DGGA,0.41202672605790647,0.6402473564954683,0.09592067779217453,0.5085767424789909,1.0440389079287218,6,
Mizoribine - Vehicle,total_cs_8,0.41389728096676737,0.6402473564954683,0.1147507192270233,0.32944387372142797,1.0330350019812455,49,
Mizoribine - Vehicle,Class_VAE,0.4226415094339623,0.6437155297532656,0.08504274637643215,-0.7103626821000473,-1.0749725708362197,2,
Mizoribine - Vehicle,total_cl_40,0.436241610738255,0.649124320593564,0.11828752612408502,0.2803507308763056,1.0111977587490422,114,
Mizoribine - Vehicle,total_cl_44,0.4393063583815029,0.649124320593564,0.10797236031734525,0.3591757421854004,1.020576595926675,30,
Mizoribine - Vehicle,Class_NAE,0.46325167037861914,0.6744399318747543,0.08916471178206781,0.47328742329240514,0.9715947334556174,6,
Mizoribine - Vehicle,Class_HexCer,0.4772344013490725,0.6790444654683065,0.072714107793444685,-0.43609137336226106,-0.9751485290501212,12,
Mizoribine - Vehicle,total_cs_12,0.48013245033112584,0.6790444654683065,0.07147862874255066,-0.40698239808347403,-0.9855925541951971,17,
Mizoribine - Vehicle,total_cl_54,0.48863636363636365,0.681338028169014,0.06961334388509648,-0.38618654328809815,-0.9687539133884983,22,
Mizoribine - Vehicle,total_cl_57,0.5129087779690189,0.705249569707401,0.07011321576425601,-0.4683049965183047,-0.9624207987580319,8,
Mizoribine - Vehicle,total_cl_26,0.5240549828178694,0.7058397683397685,0.06895673516728111,-0.45682768610375624,-0.9588983959111925,9,
Mizoribine - Vehicle,total_cl_52,0.5275974025974026,0.7058397683397685,0.06583119583688658,-0.371804029533068,-0.9326751925560245,22,
Mizoribine - Vehicle,total_cs_2,0.5374823196605375,0.7094766619519095,0.058345277674361214,-0.28633272439364965,-0.966520466169763,145,
Mizoribine - Vehicle,total_cl_35,0.575,0.7490131578947368,0.06293946920189672,-0.36880922915458947,-0.9043143931195519,19,
Mizoribine - Vehicle,total_cl_45,0.5870069605568445,0.7547232350016573,0.07850290473486872,0.4155911970990255,0.8776328177769074,7,
Mizoribine - Vehicle,Class_LPS,0.6150943396226415,0.7708943089430894,0.06568136019340105,-0.6229946524064172,-0.9427609022685438,2,
Mizoribine - Vehicle,Class_SMGDG,0.6368613138686131,0.7708943089430894,0.06238614928936257,-0.470561554286374,-0.8686451963068645,5,
Mizoribine - Vehicle,total_cl_33,0.6241610738255033,0.7708943089430894,0.05934876803356285,-0.37983609712341504,-0.8639919076812635,13,
Mizoribine - Vehicle,total_cl_39,0.6385185185185185,0.7708943089430894,0.052482762263545854,-0.2999303240825593,-0.872888593055299,51,
Mizoribine - Vehicle,total_cl_50,0.6191780821917808,0.7708943089430894,0.08455574424412811,0.30979869131489446,0.8533818070164443,24,
Mizoribine - Vehicle,total_cl_46,0.6610576923076923,0.7829081632653061,0.07417589655880091,0.35021878503503007,0.8058140645745631,11,
Mizoribine - Vehicle,total_cs_1,0.6642857142857143,0.7829081632653061,0.09560314922043013,0.2417540742194065,0.9283504904221253,166,
